Time [s]	Amp[A]
8.067827  0.63
8.068329  0.73
8.068829  0.63
8.069331  0.72
8.069832  0.61
8.070334  0.75
8.070834  0.56
8.071335  0.69
8.071836  0.72
8.072337  0.57
8.072838  0.69
8.073340  0.64
8.073841  0.66
8.074342  0.54
8.074843  0.56
8.075344  0.56
8.075845  0.59
8.076346  0.51
8.076847  0.67
8.077348  0.73
8.077849  0.63
8.078350  0.64
8.078851  0.63
8.079352  0.59
8.079853  0.63
8.080354  0.61
8.080855  0.67
8.081357  0.70
8.081859  0.75
8.082359  0.66
8.082860  0.72
8.083362  0.64
8.083863  0.53
8.084363  0.73
8.084864  0.56
8.085366  0.81
8.085867  0.51
8.086367  0.59
8.086868  0.63
8.087370  0.69
8.087870  0.64
8.088371  0.56
8.088873  0.64
8.089375  0.59
8.089875  0.48
8.090377  0.64
8.090879  0.72
8.091379  0.54
8.091880  0.56
8.092381  0.72
8.092883  0.59
8.093385  0.53
8.093886  0.50
8.094387  0.66
8.094887  0.56
8.095388  0.64
8.095889  0.72
8.096390  0.59
8.096891  0.57
8.097392  0.64
8.097893  0.51
8.098395  0.56
8.098896  0.63
8.099398  0.64
8.099899  0.69
8.100400  0.66
8.100901  0.72
8.101402  0.57
8.101904  0.67
8.102405  0.64
8.102906  0.59
8.103406  0.70
8.103907  0.64
8.104409  0.57
8.104910  0.56
8.105411  0.61
8.105912  0.61
8.106412  0.50
8.106913  0.75
8.107414  0.73
8.107916  0.63
8.108417  0.69
8.108918  0.61
8.109420  0.81
8.109920  0.56
8.110421  0.75
8.110923  0.64
8.111424  0.51
8.111924  0.72
8.112425  0.69
8.112926  0.63
8.113428  0.56
8.113929  0.78
8.114430  0.66
8.114931  0.67
8.115433  0.57
8.115933  0.66
8.116434  0.72
8.116936  0.54
8.117436  0.69
8.117938  0.67
8.118438  0.57
8.118940  0.56
8.119440  0.63
8.119941  0.61
8.120442  0.72
8.120943  0.72
8.121444  0.75
8.121946  0.64
8.122447  0.56
8.122947  0.64
8.123448  0.57
8.123949  0.59
8.124450  0.57
8.124952  0.66
8.125453  0.78
8.125955  0.72
8.126456  0.61
8.126957  0.66
8.127457  0.61
8.127958  0.69
8.128460  0.78
8.128960  0.66
8.129461  0.45
8.129962  0.66
8.130463  0.63
8.130964  0.72
8.131465  0.72
8.131966  0.70
8.132468  0.70
8.132968  0.53
8.133470  0.69
8.133971  0.61
8.134473  0.64
8.134974  0.57
8.135474  0.66
8.135976  0.67
8.136477  0.54
8.136978  0.56
8.137478  0.54
8.137980  0.70
8.138481  0.66
8.138982  0.70
8.139483  0.69
8.139984  0.57
8.140486  0.70
8.140987  0.63
8.141488  0.57
8.141988  0.72
8.142489  0.75
8.142990  0.61
8.143491  0.75
8.143993  0.70
8.144494  0.64
8.144994  0.72
8.145495  0.64
8.145996  0.61
8.146497  0.73
8.146998  0.53
8.147499  0.67
8.148000  0.50
8.148501  0.75
8.149003  0.64
8.149504  0.66
